Columns Steel - Data,,,,,,,,,,,,,,,,,
Mark,Type Mark,Family,Type,Classification.MasterFormat.Description,Classification.MasterFormat.Number,Count,Base Level,Base Offset,Top Level,Top Offset,Length,Column Location Mark,BHE_Material,Workset,BHE_Material Grade,Tonnage By Volume,
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,5722,LEVEL 01 SSL,-596,3682,1E2(-895.001)-1N4(842.000),Steel,BHE_ELEM_New Structure Ramp,,0.008 m³,0.061761
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,5722,LEVEL 01 SSL,-596,3682,1E(-215.000)-1N4(842.000),Steel,BHE_ELEM_New Structure Ramp,,0.008 m³,0.061761
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,5873,LEVEL 01 SSL,-653,3474,1E(266.000)-14(2236.000),Steel,BHE_ELEM_New Structure Ramp,,0.007 m³,0.058272
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,5274,LEVEL 01 SSL,-298,4428,1E2(-895.001)-15,Steel,BHE_ELEM_New Structure Ramp,,0.009 m³,0.074274
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,5871,LEVEL 01 SSL,-655,3474,1E2(-678.001)-14(-1271.000),Steel,BHE_ELEM_New Structure Ramp,,0.007 m³,0.058272
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,6079,LEVEL 01 SSL,-447,3474,1E2(-630.001)-14/13(-1103.000),Steel,BHE_ELEM_New Structure Ramp,,0.007 m³,0.058272
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,6079,LEVEL 01 SSL,-447,3474,1F(-2050.000)-14/13(-1103.000),Steel,BHE_ELEM_New Structure Ramp,,0.007 m³,0.058272
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,5274,LEVEL 01 SSL,-298,4428,1E(-215.000)-15,Steel,BHE_ELEM_New Structure Ramp,,0.009 m³,0.074274
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,4708,LEVEL 01 SSL,-351,4941,1E(-1220.000)-14/13(-1172.000),Steel,BHE_ELEM_New Structure Ramp,,0.011 m³,0.082879
,100-CS203,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x6.3,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,4708,LEVEL 01 SSL,-351,4941,1E(1280.000)-14/13(-1172.000),Steel,BHE_ELEM_New Structure Ramp,,0.011 m³,0.082879
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.613)-114(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.613)-115(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.599)-118(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.599)-119(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.599)-120(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
